MÃ T?NH,01,02,04,06,08,10,11,12,14,15,17,19,20,22,24,25,26,27,30,31,33,34,35,36,37,38,40,42,44,45,46,48,49,51,52,54,56,58,60,62,64,66,67,68,70,72,74,75,77,79,80,82,83,84,86,87,89,91,92,93,94,95,96
TÊN T?NH,Hà N?i,Hà Giang,Cao B?ng,B?c K?n,Tuyên Quang,Lào Cai,?i?n Biên,Lai Châu,S?n La,Yên Bái,Hoà Bình,Thái Nguyên,L?ng S?n,Qu?ng Ninh,B?c Giang,Phú Th?,V?nh Phúc,B?c Ninh,H?i D??ng,H?i Phòng,H?ng Yên,Thái Bình,Hà Nam,Nam ??nh,Ninh Bình,Thanh Hoá,Ngh? An,Hà T?nh,Qu?ng Bình,Qu?ng Tr?,Th?a Thiên Hu?,?à N?ng,Qu?ng Nam,Qu?ng Ngãi,Bình ??nh,Phú Yên,Khánh Hoà,Ninh Thu?n,Bình Thu?n,Kon Tum,Gia Lai,??k L?k,??k Nông,Lâm ??ng,Bình Ph??c,Tây Ninh,Bình D??ng,??ng Nai,Bà R?a-V?ng Tàu,TP H? Chí Minh,Long An,Ti?n Giang,B?n Tre,Trà Vinh,V?nh Long,??ng Tháp,An Giang,Kiên Giang,C?n Th?,H?u Giang,Sóc Tr?ng,B?c Liêu,Cà Mau
N?M 2016,7.590.766,820.427,524.235,307.675,763.377,696.453,568.267,436.321,1.194.937,800.321,836.963,1.242.824,763.396,1.261.240,1.696.903,1.409.008,1.106.141,1.257.844,1.832.812,1.985.314,1.215.503,1.838.110,832.217,1.792.452,956.809,3.570.832,3.203.112,1.266.723,880.639,621.598,1.117.985,1.080.286,1.475.750,1.227.463,1.487.684,868.149,1.207.163,581.497,1.213.562,507.818,1.447.133,1.836.390,594.431,1.271.315,962.675,1.139.654,2.138.788,2.951.368,1.117.607,8.479.141,1.645.215,1.740.138,1.278.619,1.007.560,1.022.856,1.619.011,1.976.372,1.708.708,1.214.590,740.059,1.227.576,892.802,1.198.120
N?M 2017,7.742.188,833.692,526.418,309.883,770.504,708.571,579.387,444.506,1.213.400,807.287,845.000,1.256.124,768.698,1.285.209,1.736.787,1.430.475,1.123.140,1.297.762,1.850.587,2.001.399,1.228.823,1.846.101,839.760,1.788.225,965.429,3.603.699,3.246.691,1.274.239,885.725,625.372,1.123.357,1.097.775,1.483.288,1.228.938,1.487.719,870.048,1.216.289,585.375,1.220.467,520.100,1.468.934,1.850.314,604.892,1.281.339,972.610,1.151.074,2.227.154,3.004.857,1.127.244,8.649.646,1.662.280,1.751.841,1.282.437,1.008.087,1.022.617,1.612.489,1.954.177,1.712.891,1.222.417,737.252,1.218.315,897.718,1.196.979
N?M 2018,7.914.485,846.531,528.656,312.000,778.300,720.829,590.518,453.383,1.233.074,814.579,850.413,1.273.558,775.866,1.303.912,1.777.506,1.449.585,1.138.370,1.337.345,1.877.682,2.016.420,1.242.395,1.854.128,847.137,1.784.206,974.666,3.631.279,3.291.369,1.280.513,891.138,629.734,1.125.400,1.114.366,1.490.764,1.230.500,1.487.771,871.495,1.224.485,588.860,1.227.269,532.358,1.495.700,1.861.518,615.420,1.291.441,984.910,1.160.681,2.345.184,3.055.089,1.138.281,8.843.200,1.678.929,1.759.065,1.285.963,1.008.784,1.022.682,1.606.069,1.931.000,1.718.130,1.227.744,734.903,1.208.822,902.964,1.195.559
N?M 2019,8.093.891,858.091,530.856,314.378,786.258,733.337,601.659,462.629,1.252.700,823.034,855.804,1.290.945,782.811,1.324.842,1.810.421,1.466.399,1.154.836,1.378.592,1.896.911,2.033.300,1.255.839,1.862.184,854.469,1.780.865,984.527,3.645.796,3.337.207,1.290.263,896.601,633.440,1.129.505,1.141.125,1.497.479,1.231.893,1.487.817,873.164,1.232.823,591.032,1.232.267,543.400,1.520.155,1.872.574,625.822,1.299.335,997.766,1.171.683,2.456.319,3.113.713,1.152.218,9.038.566,1.695.100,1.766.289,1.289.098,1.009.322,1.022.619,1.598.754,1.907.401,1.723.695,1.235.954,732.162,1.199.528,908.241,1.194.281
N?M 2020,8.246.540,870.240,533.085,316.463,792.900,746.355,613.480,469.811,1.270.556,831.586,861.216,1.307.871,788.706,1.337.605,1.841.624,1.481.884,1.171.232,1.419.126,1.916.774,2.053.493,1.269.090,1.870.240,861.832,1.780.333,993.920,3.664.944,3.365.198,1.296.622,901.984,637.386,1.133.592,1.169.480,1.505.042,1.233.396,1.487.903,874.295,1.240.436,593.644,1.239.256,555.645,1.541.829,1.886.937,637.907,1.309.792,1.011.076,1.178.329,2.580.550,3.177.401,1.167.937,9.227.598,1.713.658,1.772.544,1.292.397,1.009.940,1.022.971,1.600.014,1.904.532,1.728.869,1.240.731,729.780,1.195.741,913.481,1.193.894
N?M 2021,8.330.834,887.086,542.217,323.712,801.668,761.890,625.089,478.430,1.287.718,842.671,871.724,1.323.150,796.939,1.350.851,1.875.238,1.507.539,1.191.782,1.462.945,1.936.775,2.072.388,1.284.552,1.875.663,875.216,1.836.268,1.007.570,3.716.428,3.409.812,1.314.056,910.655,647.790,1.153.795,1.195.488,1.518.477,1.244.132,1.508.322,875.535,1.248.062,596.049,1.246.306,568.780,1.569.721,1.908.999,664.416,1.321.839,1.024.285,1.181.907,2.596.785,3.169.103,1.176.079,9.166.840,1.725.752,1.779.416,1.295.705,1.018.635,1.029.015,1.601.306,1.909.506,1.752.321,1.246.993,729.888,1.206.819,918.510,1.208.752
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
